Province,Country,uid,Date,Total Confirmed Cases,Total Deaths,Total Recovered,Active Cases,New Cases,New Deaths,New Recovered,Closed cases,Death Rate Based on Confirmed cases,Death Rate Based on Closed cases,Lat Lang,Benchmark
,Oman,Oman,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"21.0,57.0",0.02
,Singapore,Singapore,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"1.2833,103.8333",0.02
,Pakistan,Pakistan,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"30.3753,69.3451",0.02
,Rwanda,Rwanda,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-1.9403,29.8739",0.02
,Bosnia and Herzegovina,Bosnia and Herzegovina,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"43.9159,17.6791",0.02
,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"12.9843,-61.2872",0.02
,Russia,Russia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"60.0,90.0",0.02
,Bolivia,Bolivia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-16.2902,-63.5887",0.02
,Romania,Romania,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"45.9432,24.9668",0.02
,Qatar,Qatar,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"25.3548,51.1839",0.02
,Brazil,Brazil,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-14.235,-51.9253",0.02
,San Marino,San Marino,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"43.9424,12.4578",0.02
,Saudi Arabia,Saudi Arabia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"24.0,45.0",0.02
,Portugal,Portugal,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"39.3999,-8.2245",0.02
,Poland,Poland,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"51.9194,19.1451",0.02
,Brunei,Brunei,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"4.5353,114.7277",0.02
,Bhutan,Bhutan,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"27.5142,90.4336",0.02
,Philippines,Philippines,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"13.0,122.0",0.02
,Senegal,Senegal,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"14.4974,-14.4524",0.02
,Peru,Peru,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-9.19,-75.0152",0.02
,Paraguay,Paraguay,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-23.4425,-58.4438",0.02
,Serbia,Serbia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"44.0165,21.0059",0.02
,Bulgaria,Bulgaria,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"42.7339,25.4858",0.02
,Seychelles,Seychelles,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-4.6796,55.492",0.02
,Papua New Guinea,Papua New Guinea,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-6.315,143.9555",0.02
,Panama,Panama,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"8.538,-80.7821",0.02
,Burkina Faso,Burkina Faso,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"12.2383,-1.5616",0.02
,Benin,Benin,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"9.3077,2.3158",0.02
,Sudan,Sudan,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"12.8628,30.2176",0.02
,Namibia,Namibia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-22.9576,18.4904",0.02
,Morocco,Morocco,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"31.7917,-7.0926",0.02
,Suriname,Suriname,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"3.9193,-56.0278",0.02
Ontario,Canada,Canada - Ontario,2020-01-22,0,0,17,0,0,0,0.0,0.0,0.0,0.0,"51.2538,-85.3232",0.02
,Tunisia,Tunisia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"34.0,9.0",0.02
,Liberia,Liberia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"6.4281,-9.4295",0.02
,Malawi,Malawi,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-13.254307999999998,34.301525",0.02
,Lebanon,Lebanon,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"33.8547,35.8623",0.02
Prince Edward Island,Canada,Canada - Prince Edward Island,2020-01-22,0,0,17,0,0,0,0.0,0.0,0.0,0.0,"46.5107,-63.4168",0.02
,Azerbaijan,Azerbaijan,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"40.1431,47.5769",0.02
,Turkey,Turkey,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"38.9637,35.2433",0.02
,Latvia,Latvia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"56.8796,24.6032",0.02
,Kyrgyzstan,Kyrgyzstan,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"41.2044,74.7661",0.02
,Uganda,Uganda,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"1.0,32.0",0.02
Quebec,Canada,Canada - Quebec,2020-01-22,0,0,17,0,0,0,0.0,0.0,0.0,0.0,"52.9399,-73.5491",0.02
,Kuwait,Kuwait,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"29.5,47.75",0.02
,Ukraine,Ukraine,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"48.3794,31.1656",0.02
,"Korea, South","Korea, South",2020-01-22,1,0,0,1,0,0,0.0,0.0,0.0,0.0,"36.0,128.0",0.02
,Austria,Austria,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"47.5162,14.5501",0.02
,Kenya,Kenya,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-0.0236,37.9062",0.02
Saskatchewan,Canada,Canada - Saskatchewan,2020-01-22,0,0,17,0,0,0,0.0,0.0,0.0,0.0,"52.9399,-106.4509",0.02
,United Arab Emirates,United Arab Emirates,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"24.0,54.0",0.02
,Kazakhstan,Kazakhstan,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"48.0196,66.9237",0.02
Bermuda,United Kingdom,United Kingdom - Bermuda,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"32.3078,-64.7505",0.02
,Jordan,Jordan,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"31.24,36.51",0.02
,Central African Republic,Central African Republic,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"6.6111,20.9394",0.02
,Japan,Japan,2020-01-22,2,0,0,2,0,0,0.0,0.0,0.0,0.0,"36.0,138.0",0.02
Western Australia,Australia,Australia - Western Australia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-31.9505,115.8605",0.02
,Liechtenstein,Liechtenstein,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"47.14,9.55",0.02
,Cote d'Ivoire,Cote d'Ivoire,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"7.54,-5.5471",0.02
,Trinidad and Tobago,Trinidad and Tobago,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"10.6918,-61.2225",0.02
,Luxembourg,Luxembourg,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"49.8153,6.1296",0.02
,Montenegro,Montenegro,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"42.5,19.3",0.02
Grand Princess,Canada,Canada - Grand Princess,2020-01-22,0,0,17,0,0,0,0.0,0.0,0.0,0.0,"37.6489,-122.6655",0.02
,Sweden,Sweden,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"63.0,16.0",0.02
,Mongolia,Mongolia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"46.8625,103.8467",0.02
